epoch_s	power_w	temp_c	util_pct	gfx_clock_mhz	throttle	vram_mib	mem_available_kb	swap_total_kb	swap_free_kb
1789794978	105.25	33	0	1695	0x0000000000000000	17274	53857156	8388604	6360260
1789794980	241.41	40	36	1815	0x0000000000000004	17456	53143784	8388604	6293052
1789794982	336.11	41	69	1800	0x0000000000000004	17472	52787264	8388604	6282076
1789794984	346.20	42	97	1785	0x0000000000000004	17472	52783056	8388604	6177720
1789794986	343.89	43	97	1755	0x0000000000000004	17472	52839832	8388604	6118652
1789794988	336.17	43	71	1785	0x0000000000000004	17472	52943868	8388604	6599036
1789794990	338.06	44	97	1725	0x0000000000000004	17472	52911264	8388604	6410268
1789794992	344.93	44	96	1755	0x0000000000000004	17472	52924292	8388604	6281688
1789794994	338.12	45	94	1785	0x0000000000000004	17472	52842440	8388604	6183460
1789794996	344.35	45	97	1755	0x0000000000000004	17472	53347296	8388604	6599036
1789794998	337.99	45	86	1740	0x0000000000000004	17472	52886416	8388604	6513196
1789795000	345.93	46	99	1755	0x0000000000000004	17472	52897152	8388604	6336896
1789795002	345.83	46	96	1770	0x0000000000000004	17472	52911684	8388604	6256408
1789795004	334.55	47	75	1740	0x0000000000000004	17482	52932012	8388604	6205152
1789795006	338.78	47	96	1755	0x0000000000000004	17482	52916436	8388604	6143924
1789795008	345.81	47	97	1725	0x0000000000000004	17482	52953064	8388604	6081292
1789795010	344.36	48	96	1710	0x0000000000000004	17482	52978324	8388604	6577364
1789795012	340.20	48	94	1770	0x0000000000000004	17482	52912912	8388604	6396620
1789795014	345.36	49	97	1725	0x0000000000000004	17482	52926368	8388604	6259592
1789795016	333.73	49	84	1680	0x0000000000000004	17482	52862452	8388604	6207608
1789795018	340.77	49	97	1755	0x0000000000000004	17482	52748052	8388604	6092504
1789795020	337.90	49	97	1830	0x0000000000000004	17482	52834344	8388604	6074752
1789795022	345.65	50	97	1695	0x0000000000000004	17482	52871768	8388604	6075192
1789795024	345.51	50	94	1725	0x0000000000000004	17482	52930552	8388604	6576312
1789795026	337.73	51	96	1710	0x0000000000000004	17482	52856520	8388604	6401400
1789795028	337.55	51	94	1740	0x0000000000000004	17482	52782332	8388604	6250516
1789795030	335.90	49	97	1845	0x0000000000000004	17482	52889584	8388604	6159288
1789795032	345.60	52	97	1710	0x0000000000000004	17482	52879224	8388604	6099936
1789795034	340.76	51	96	1830	0x0000000000000004	17482	53502764	8388604	6599036
1789795036	333.61	50	86	1935	0x0000000000000004	17482	52884604	8388604	6559868
1789795038	339.49	52	97	1755	0x0000000000000004	17482	52708792	8388604	6380140
1789795040	339.50	53	97	1710	0x0000000000000004	17482	52828388	8388604	6245732
1789795042	333.67	53	96	1785	0x0000000000000004	17482	52827344	8388604	6159692
1789795044	339.92	53	97	1725	0x0000000000000004	17482	53266732	8388604	6599036
1789795046	337.18	53	96	1770	0x0000000000000004	17482	52856552	8388604	6530100
1789795048	332.38	53	95	1740	0x0000000000000004	17504	52699620	8388604	6364132
1789795050	340.72	53	97	1740	0x0000000000000004	17504	52714052	8388604	6206100
1789795052	337.35	54	97	1740	0x0000000000000004	17504	52692480	8388604	6126008
1789795054	334.72	54	95	1950	0x0000000000000004	17522	53154236	8388604	6599036
1789795056	334.00	54	90	1725	0x0000000000000004	17522	52820292	8388604	6565772
1789795059	336.77	55	94	1695	0x0000000000000004	17542	52725300	8388604	6423932
1789795061	345.04	55	97	1740	0x0000000000000004	17542	52750000	8388604	6281244
1789795063	332.30	55	95	1710	0x0000000000000004	17542	52754612	8388604	6188744
1789795065	344.27	55	97	1710	0x0000000000000004	17542	53227660	8388604	6599036
1789795067	345.79	55	95	1695	0x0000000000000004	17542	52847540	8388604	6589072
1789795069	345.33	55	97	1740	0x0000000000000004	17542	52857952	8388604	6401016
1789795071	228.87	51	0	1980	0x0000000000000004	17542	52741500	8388604	6294928
1789795073	121.90	50	0	1695	0x0000000000000000	17542	52781028	8388604	6207332
1789795075	114.12	49	0	1695	0x0000000000000000	17542	53277308	8388604	6599036
1789795077	113.79	49	0	1695	0x0000000000000000	17542	53101248	8388604	6599036
1789795079	113.80	48	0	1695	0x0000000000000000	17542	52805448	8388604	6307568
1789795081	113.24	48	0	1695	0x0000000000000000	17542	52776412	8388604	6246700
1789795083	112.80	48	0	1695	0x0000000000000000	17542	52740004	8388604	6181188
1789795085	112.60	47	0	1695	0x0000000000000000	17542	53255984	8388604	6599036
1789795087	112.36	47	0	1695	0x0000000000000000	17542	53254232	8388604	6599036
1789795089	62.52	44	0	210	0x0000000000000001	17542	52838144	8388604	6599036
